ym:s:visitID,ym:s:date,ym:s:watchIDs,version
6882562603587469387,2024-11-19,[6882562603587469387],v2
1088404216723538229,2024-03-08,"[1088404216723538229,1088426702248608053,1088433915814478133,1088433923301572914,1088407788108906726]",v2
586909654458040405,2024-02-15,"[586909654458040405,586913589281423623]",v2
4609415112398733662,2024-08-10,"[4609415112398733662,4609458058669064194,4609420363314757634]",v2
6256618633120972897,2024-10-22,"[6256618633120972897,6256786534727418141,6256787821857079581,6256787824628203805,6256789956523458846,6256791197192290590,6256792236639387719,6256793599591842077,6256798395033976929,6256799266569715809,6256801448230387997,6256804537021235297,6256806614141501511,6256806623017435421,6256806806525575239,6256807513032491294,6256813552662741277,6256816034450767969,6256817977782698269,6256821618192941153,6256823865310970141,6256823869007724641,6256622576579117127]",v2
4335593922396684441,2024-07-29,"[4335593922396684441,4335603359791185925,4335604895924093152,4335610120071282918,4335610912379764960,4335611580403679258,4335612598298083540,4335613084753723437,4335627663568798070,4335642195165446204,4335599620685824108]",v2
3330228186475921657,2024-06-15,"[3330228186475921657,3330253547233870073,3330232682741497949]",v2
1473575509045018735,2024-03-25,"[1473575509045018735,1473579432898723951]",v2
4340435833963151409,2024-07-29,[4340435833963151409],v2
4491897986045968465,2024-08-05,"[4491897986045968465,4491902012242788589]",v2
6732026618088521784,2024-11-12,"[6732026618088521784,6732030273958707371]",v2
3266479769273499657,2024-06-12,"[3266479769273499657,3266483698732105763]",v2
4091758191525232720,2024-07-18,"[4091758191525232720,4091759538778931359,4091760094254203214,4091760676067868831,4091761239882203216,4091761842466062670,4091764849389863246,4091765141779251359,4091766278213075295,4091766821333237919,4091767537419419999,4091768010481074510,4091768643658449230,4091769250297675856,4091769670107922766,4091763454613127248]",v2
6741925420610355471,2024-11-12,[6741925420610355471],v2
356549819973501314,2024-02-04,"[356549819973501314,356579582310613135,356579956017856588,356615664940351874,356615982277984332,356554778441678991]",v2
2795917941796765939,2024-05-22,"[2795917941796765939,2795920542095638620,2795920571741241419,2795924187288174867,2795957134862319833,2795961398109405480,2795962858760568869,2795966860380078310,2795967292829860208,2795973578320511548,2795984723254182073,2795991092294844646,2795991869206822947,2795994787406414029,2795996826568491341,2796008204864061480,2796009842310119629,2796012453433966615,2796013057293942899,2796014030941847670,2796014070705684520,2795921829371838746,2795928086337814967,2795961036561186830,2795971204352049337]",v2
3885406704454598963,2024-07-09,"[3885406704454598963,3885407511831117850,3885407512110301314,3885408546824650882,3885409165747421354,3885409568154452098,3885410158901985587,3885411413753593986,3885412085665104042,3885413301310455978,3885413397227372674,3885414238335533363,3885414292827144499,3885414336464420890,3885414501578440730,3885419307815403546,3885421178348896563,3885421252473258291,3885421812186611842,3885422219703615514,3885423544086036650,3885423992677597314,3885424350667997314,3885425396256080002,3885425542221791402,3885425886739562626,3885426012904226986,3885428859480309786,3885428911373287554,3885428967247446186,3885430060294340915,3885430985235366195,3885431455783059763,3885431456974766210,3885510215350353946,3885510567042482306,3885510808751571251,3885512039880196226,3885512225371979906,3885512338469814298,3885518914078113818,3885520611078832435,3885520665486819458,3885415527886881075]",v2
4452441995263607089,2024-08-03,"[4452441995263607089,4452453275220312122,4452453380612948103,4452448217847824487]",v2
4563357145228902504,2024-08-08,"[4563357145228902504,4563361081667616899]",v2
5016475376484352355,2024-08-28,"[5016475376484352355,5016478105418072326,5016478105693847624,5016479567101559021,5016484193558331654]",v2
3705557363755319637,2024-07-01,"[3705557363755319637,3705629851197112321,3705630232958206073,3705561282472050717]",v2
5621949146985660646,2024-09-24,"[5621949146985660646,5621953013309243432]",v2
2650135657291186244,2024-05-16,"[2650135657291186244,2650161191971717214,2650161192118255684,2650139580528590942]",v2
4086322465638711646,2024-07-18,[4086322465638711646],v2
3208622127073198274,2024-06-09,"[3208622127073198274,3208647103758467133,3208648365412712642,3208668298881794242,3208629464671977753]",v2
1410362532896964760,2024-03-22,"[1410362532896964760,1410363807154569731,1410364025453412581,1410365152573784396,1410365168230334739]",v2
1637939402243310353,2024-04-01,"[1637939402243310353,1637943448551030952]",v2
